id,label,tweet
14,1,@user #cnn calls #michigan middle school 'build the wall' chant '' #tcot  
15,1,no comment!  in #australia   #opkillingbay #seashepherd #helpcovedolphins #thecove  #helpcovedolphins
18,1,retweet if you agree! 
24,1,@user @user lumpy says i am a . prove it lumpy.
35,1,it's unbelievable that in the 21st century we'd need something like this. again. #neverump  #xenophobia 
57,1,@user lets fight against  #love #peace 
69,1,Ã°ÂŸÂ˜Â©the white establishment can't have blk folx running around loving themselves and promoting our greatness  
78,1,"@user hey, white people: you can call people 'white' by @user  #race  #identity #medÃ¢Â€Â¦"
83,1,how the #altright uses  &amp; insecurity to lure men into #whitesupremacy    
112,1,@user i'm not interested in a #linguistics that doesn't address #race &amp; . racism is about #power. #raciolinguistics bringsÃ¢Â€Â¦
115,1,@user why not @user mocked obama for being black.  @user @user @user @user #brexit
132,1,#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;Ã¢Â€Â¦ 
152,1,yes it's  when you call #michelleobama a gorilla because racists have long thought of black people as no betÃ¢Â€Â¦ 
157,1,"as the smaller hands show, barry probably lied about  being why his #knicks game sucked more than his #golfÃ¢Â€Â¦ "
168,1,"@user @user you point one finger @user millions are pointed right back at you,  #jewishsupremacist"
193,1,you might be a libtard if... #libtard  #sjw #liberal #politics 
211,1,@user take out the #trash america...  - i voted against #hate - i voted against  - i voted against  - i votÃ¢Â€Â¦ 
233,1,"if you hold open a door for a woman because she's a woman and not because it's a nice thing to do, that's . don't even try to deny it"
264,1,"@user this man ran for governor of ny, the state with the biggest african-american population    #Ã¢Â€Â¦"
265,1,#stereotyping #prejudice  offer no #hope or solutions but create the same old repetitive #hate #conflictÃ¢Â€Â¦ 
270,1,how many#pols passed by how many times and said nothing?   #bluelivesmatter #draintheswamp  #ferguson  
314,1,7 horribly  ads from #2016 that made us cringe 
322,1,"@user ""the dying of the light""  village green/townÃ‚Â²  #antisemitism #hocoschools #columbiamd #hocomd"
333,1,"@user you never answered me about your statement on the #nazi's over #hatred,  &amp; #bigotry being found wÃ¢Â€Â¦ "
355,1,you might be a libtard if... #libtard  #sjw #liberal #politics 
363,1,trump ny co-chair makes racist remarks about michelle obama  #p2 #p21 #fyi  #tcot
375,1,"@user the pic says otherwise for young girls confined in that kitchen. you are void of meaning, beyond cheap publicity #topoli "
406,1,@user when you're blocked by a  troll because you promise to  #blacklivesmatter &amp; let his nonsensical rants boosÃ¢Â€Â¦ 
426,1,why the nazis studied american race laws for inspiration Ã¢Â€Â“  #ushistory  #eugenics
433,1,@user #biherism absolutely originated in hateful  #bigotry #altright hatred of our african american #potus #theresistance
444,1,fo woh officer in viral arrest video was Ã¢Â€Â˜rude not racistÃ¢Â€Â™: chief  #crime #officerÃ¢Â€Â¦ 
487,1,discussing republicans is the same thing as critiquing . we can't ignore the consequences.
499,1,are you #black &amp; feel like the  are stomping on you? Ã¢Â€Â¦  #retweet #tampa #miamiÃ¢Â€Â¦ 
516,1,@user #allahsoil the more familiar we become the more difficult it is to stereotype. . Ã¢Â€Â¦ Ã¢Â€Â¦Ã¢Â€Â¦ 
527,1,anti racist is a codeword for antiwhite   asia for the asians  africa for the africans  white countries for everyonÃ¢Â€Â¦ 
532,1,@user you #praised #cleveland police during #rnc the police are under a consent decree! 75% are #white  #tamirrice #rip
545,1,@user that doesn't prevent you from being a  and a #bigot
551,1, girls in the world sexy mature housewife 
559,1,@user i don't like the #blacklivesmatter slogan.  talk about being .
570,1,@user #feminismiscancer #feminismisterrorism #feminismmuktbharat why  #malevote is ignored  @user
572,1,fox new just coming out and saying it bluntly. one of the most  things i've read. 
580,1,"@user yes lets do this,suppoing a openly ,#prowar #anti #islamic,#homophobic,#rapist,who advocates more of same,#hypocrite"
610,1, porn vids wwwsmallgirlsexcom
618,1,the latest obsidian radio daily!  thanks to @user @user @user  #latesnews
622,1,you might be a libtard if... #libtard  #sjw #liberal #politics 
623,1, just more overwhelming evidence that the company #trump keeps echoes his sentiments &amp; ideals #dumptrump 
650,1,"""nigger?"" #lifelessons of a white kid who grew up in the 60's. #blogpost  #whitepeople #respectÃ¢Â€Â¦ "
693,1,"carolyn cooper | ugly, poor, ignorant and black!  "
734,1,"@user no, he was definitely a  mexican. #fakenewsale"
736,1,standing up to racism and hate by americad not curse out congress and all haters  who are deplorable  #hateÃ¢Â€Â¦ 
747,1,"@user #trump used #hate,  and #putin to win the white house #trump presses attack on khan family and g.o.p. leaders "
750,1,everytime i wear soccer shis joie fries me and says i look mexican as fuck Ã°ÂŸÂ˜Â’ 
764,1,the danger of white liberalism to oveurning  (applies to liberal men and feminism too)  
772,1,great aicle. right on the money! #starspangledbanner #slavery #apaheid  #usa 
781,1,@user thank you!! the power of #social #media!   @user #aande 
791,1,@user and you keep telling that only aryans are allowed to rape women! you're just a  troll! #eod @user @user
794,1,@user any minute #trump will condemn the  #vile #bigoted comments of #his #surrogate #carlpaladino #endhateÃ¢Â€Â¦ 
796,1,@user #allahsoil vps got multi-million dollar bonuses while average americans lost their homes.  Ã¢Â€Â¦Ã¢Â€Â¦ 
803,1,25 jan. interested in how #discrimination and  has affected the criminal justice system? 
805,1,keep up the opposition to  @user #endthenation
812,1,"i guess @user is talking about progress in the advancement of , #misogyny, #homophobia, #bigotry"
816,1,"@user jake is right, 2 many ppl lack the will power to take a stand &amp; drown the small minded &amp; oft evil tendencies of past "
